time (ps),RMSD to cluster 1 (nm)
13330.0,0.5376
13340.0,0.5266
13350.0,0.537
13360.0,1.1851
13370.0,1.1647
13380.0,1.1616
13390.0,0.4791
13400.0,0.7465
13410.0,0.8144
13420.0,0.8572
13430.0,0.8516
13440.0,0.8288
13450.0,1.1098
13460.0,1.0928
13470.0,0.8076
13480.0,0.4869
13490.0,0.5224
13500.0,0.8206
13510.0,0.5285
13520.0,0.5624
13530.0,0.5907
13540.0,0.5544
13550.0,0.7577
13560.0,0.7785
13570.0,0.5317
13580.0,0.5057
13590.0,0.5099
13600.0,0.5356
13610.0,0.6869
13620.0,0.5991
13630.0,0.5872
13640.0,0.5679
13650.0,1.0453
13660.0,1.001
13670.0,1.0498
13680.0,1.0082
13690.0,0.5752
13700.0,0.6549
13710.0,0.6575
13720.0,0.497
13730.0,0.4791
13740.0,0.4947
13750.0,1.0917
13760.0,0.5393
13770.0,0.5062
13780.0,0.4825
13790.0,0.4669
13800.0,0.5588
13810.0,0.4741
13820.0,0.4645
13830.0,0.5715
13840.0,0.4668
13850.0,0.4592
13860.0,0.4564
13870.0,0.7925
13880.0,0.776
13890.0,0.7949
13900.0,0.4662
13910.0,0.4658
13920.0,0.4694
13930.0,0.4587
13940.0,0.468
13950.0,0.4317
13960.0,0.5184
13970.0,0.5076
13980.0,0.5164
13990.0,0.4361
14000.0,0.4564
14010.0,0.5257
14020.0,0.5433
14030.0,0.4593
14040.0,0.4347
14050.0,0.4565
14060.0,0.4466
14070.0,0.4427
14080.0,0.4635
14090.0,0.4697
14100.0,0.4582
14110.0,0.8364
14120.0,0.86
14130.0,0.8541
