time (ps),RMSD to cluster 1 (nm)
9900.0,0.9453
9910.0,0.807
9920.0,0.8069
9930.0,0.9241
9940.0,0.9167
9950.0,0.9349
9960.0,0.7895
9970.0,0.775
9980.0,0.781
9990.0,0.7985
10000.0,0.7776
10010.0,0.7858
10020.0,0.7989
10030.0,0.8545
10040.0,0.8397
10050.0,0.824
10060.0,0.7148
10070.0,0.6884
10080.0,0.7925
10090.0,0.7948
10100.0,0.7951
10110.0,0.8006
10120.0,0.7961
10130.0,0.7856
10140.0,0.9389
10150.0,0.8934
10160.0,0.8556
10170.0,0.7952
10180.0,0.8183
10190.0,0.8185
10200.0,0.8482
10210.0,0.8101
10220.0,0.8033
10230.0,0.6882
10240.0,0.6996
10250.0,0.6961
10260.0,0.6465
10270.0,0.6505
10280.0,0.6129
10290.0,0.893
10300.0,0.9148
10310.0,0.8953
10320.0,0.6761
10330.0,0.6146
10340.0,0.5962
10350.0,0.5755
10360.0,0.5168
10370.0,0.5378
10380.0,0.9459
10390.0,0.9398
10400.0,0.9165
10410.0,0.9764
10420.0,0.92
10430.0,0.9513
10440.0,0.6957
10450.0,0.3819
10460.0,0.3661
10470.0,0.2966
10480.0,0.3245
10490.0,0.3331
10500.0,0.7533
10510.0,0.7462
10520.0,0.7864
10530.0,0.3194
10540.0,0.3423
10550.0,0.76
10560.0,0.3366
10570.0,0.3212
10580.0,0.3411
10590.0,0.3195
10600.0,0.3374
10610.0,0.754
10620.0,0.8064
10630.0,0.8094
10640.0,0.6563
10650.0,0.6489
10660.0,0.7166
10670.0,0.7144
10680.0,0.7712
10690.0,0.7842
10700.0,0.8065
10710.0,0.8275
10720.0,0.6556
10730.0,0.6553
10740.0,0.7894
10750.0,0.6716
10760.0,0.7966
10770.0,0.8647
10780.0,0.6927
10790.0,0.6796
10800.0,0.6924
10810.0,0.7741
10820.0,0.7951
10830.0,0.3601
10840.0,0.3762
10850.0,0.5407
10860.0,0.7069
10870.0,0.5497
10880.0,0.5601
10890.0,0.7652
10900.0,0.7918
10910.0,0.7911
10920.0,0.7545
10930.0,0.7547
10940.0,0.7503
10950.0,0.7752
10960.0,0.8051
10970.0,0.7697
10980.0,0.8495
10990.0,0.8753
11000.0,0.9246
11010.0,0.7712
11020.0,0.8474
11030.0,0.699
11040.0,0.4822
11050.0,0.4836
11060.0,0.4811
11070.0,0.4721
11080.0,0.4778
11090.0,0.786
11100.0,0.7906
11110.0,0.7808
11120.0,0.5099
11130.0,0.783
11140.0,0.7684
11150.0,0.7713
11160.0,0.7794
11170.0,0.7842
11180.0,0.7818
11190.0,0.7834
11200.0,0.7173
11210.0,0.6984
11220.0,0.7083
11230.0,0.6985
11240.0,0.5136
11250.0,0.5135
11260.0,0.5005
11270.0,0.7079
11280.0,0.7024
11290.0,0.7862
11300.0,0.7901
11310.0,0.6792
11320.0,0.6829
11330.0,0.7902
11340.0,0.7799
11350.0,0.7861
11360.0,0.7932
11370.0,0.7868
11380.0,0.7112
11390.0,0.6954
11400.0,0.727
11410.0,0.7144
11420.0,0.7081
11430.0,0.7142
11440.0,1.0504
11450.0,1.0385
11460.0,1.1468
11470.0,1.0809
11480.0,1.1251
11490.0,1.0707
11500.0,1.0424
11510.0,1.0493
11520.0,0.9987
11530.0,1.0422
11540.0,1.03
11550.0,1.0142
11560.0,1.0614
11570.0,1.0648
11580.0,1.0751
11590.0,1.1462
11600.0,1.1414
11610.0,1.1206
11620.0,1.1414
11630.0,1.1732
11640.0,1.1796
11650.0,1.1239
11660.0,1.1348
11670.0,1.1134
11680.0,1.0349
11690.0,1.0281
11700.0,1.0828
11710.0,1.1311
11720.0,1.1262
11730.0,1.0421
11740.0,1.0766
11750.0,1.0982
11760.0,0.6682
11770.0,0.6783
11780.0,0.6558
11790.0,0.6711
11800.0,1.1195
11810.0,1.1359
11820.0,1.098
11830.0,1.0673
11840.0,1.0711
11850.0,1.1122
11860.0,0.5494
11870.0,0.5567
11880.0,0.7891
11890.0,0.7819
11900.0,0.7871
11910.0,0.7747
11920.0,1.0515
11930.0,1.057
11940.0,0.7781
11950.0,0.9098
11960.0,0.9015
11970.0,0.9299
11980.0,0.9393
11990.0,0.8974
12000.0,0.6481
12010.0,0.6606
12020.0,0.6559
12030.0,1.0596
12040.0,1.0779
12050.0,1.1278
12060.0,1.1307
12070.0,0.7875
12080.0,0.7817
12090.0,0.7638
12100.0,0.767
12110.0,1.0259
12120.0,1.0095
12130.0,0.9792
12140.0,0.987
12150.0,0.9868
12160.0,0.7667
12170.0,0.6553
12180.0,0.7813
12190.0,0.7881
12200.0,0.7931
12210.0,0.6681
12220.0,1.0675
12230.0,1.1047
12240.0,1.0894
12250.0,0.8094
12260.0,0.8015
12270.0,0.8509
12280.0,0.8698
12290.0,0.8623
12300.0,0.5394
12310.0,0.5329
12320.0,0.5385
12330.0,0.9034
12340.0,0.8922
12350.0,0.9007
12360.0,0.901
12370.0,0.9304
12380.0,0.5627
12390.0,0.5599
12400.0,0.9108
12410.0,0.7087
12420.0,0.6998
12430.0,0.6996
12440.0,0.6966
12450.0,0.6967
12460.0,0.5722
12470.0,0.5635
12480.0,0.5574
12490.0,0.556
12500.0,0.565
12510.0,0.7118
12520.0,0.7076
12530.0,0.6956
12540.0,0.5429
12550.0,0.543
12560.0,0.5415
12570.0,0.702
12580.0,0.7108
12590.0,0.6982
12600.0,1.0217
12610.0,0.6966
12620.0,0.6997
12630.0,1.0705
12640.0,0.7031
12650.0,0.7057
12660.0,0.7124
12670.0,0.6479
12680.0,0.542
12690.0,0.6886
12700.0,0.7146
12710.0,0.8101
12720.0,0.8163
12730.0,0.7116
12740.0,0.7129
12750.0,0.751
12760.0,0.7556
12770.0,0.7825
12780.0,0.7466
12790.0,0.6876
12800.0,0.7257
12810.0,0.5271
12820.0,0.6949
12830.0,0.7002
12840.0,0.6999
12850.0,0.69
12860.0,0.6855
12870.0,0.7896
12880.0,0.7312
12890.0,0.6812
12900.0,0.7138
12910.0,0.7191
12920.0,0.7486
12930.0,1.039
12940.0,0.7229
12950.0,0.7337
12960.0,0.737
12970.0,0.7477
12980.0,0.6925
12990.0,0.4981
13000.0,0.5004
13010.0,0.4889
13020.0,0.5595
13030.0,0.5626
13040.0,0.5617
13050.0,0.5255
13060.0,0.5398
13070.0,0.5534
13080.0,0.7028
13090.0,0.703
13100.0,0.7077
13110.0,0.7002
13120.0,0.703
13130.0,0.5759
13140.0,0.5671
13150.0,0.8407
13160.0,0.7953
13170.0,0.7779
13180.0,0.7722
13190.0,0.7739
13200.0,0.8176
13210.0,0.8039
13220.0,0.8577
13230.0,0.8904
13240.0,0.8587
13250.0,0.8503
13260.0,0.8756
13270.0,0.8718
13280.0,0.875
13290.0,0.907
13300.0,0.5826
13310.0,0.609
13320.0,0.69
13330.0,0.6746
13340.0,0.6659
13350.0,0.686
13360.0,0.9765
13370.0,0.9461
13380.0,0.9632
13390.0,0.6033
13400.0,0.6513
13410.0,0.6588
13420.0,0.7059
13430.0,0.6808
13440.0,0.6917
13450.0,0.9907
13460.0,0.988
13470.0,0.6248
13480.0,0.5947
13490.0,0.6173
13500.0,0.6016
13510.0,0.6093
13520.0,0.6019
13530.0,0.8036
